id,owner_user_id,reputation
"1284","",""
"52830","",""
"81202","",""
"143791","",""
"186106","",""
"223395","",""
"229596","",""
"239194","",""
"264570","",""
"309497","",""
"323938","",""
"325086","",""
"350202","",""
"354676","",""
"381747","",""
"388699","",""
"402705","",""
"438704","",""
"443883","",""
"451623","",""
"452664","",""
"460519","",""
"461137","",""
"475833","",""
"487566","",""
"493531","",""
"526576","",""
"579322","",""
"585891","",""
"595516","",""
"601300","",""
"604924","",""
"613962","",""
"619991","",""
"625542","",""
"633245","",""
"650979","",""
"674247","",""
"747394","",""
"762795","",""
"771069","",""
"794232","",""
"817905","",""
"832483","",""
"841152","",""
"855394","",""
"858773","",""
"870017","",""
"872929","",""
"886201","",""
"903432","",""
"904442","",""
"909979","",""
"910708","",""
"923689","",""
"928830","",""
"1002628","",""
"1003847","",""
"1013032","",""
"1042635","",""
"1053919","",""
"1083898","",""
"1112841","",""
"1136468","",""
"1139360","",""
"1159729","",""
"1163319","",""
"1165192","",""
"1217065","",""
"1219663","",""
"1232665","",""
"1237563","",""
"1238082","",""
"1258117","",""
"1271787","",""
"1291584","",""
"1306823","",""
"1349474","",""
"1363690","",""
"1374288","",""
"1377849","",""
"1381362","",""
"1386367","",""
"1393720","",""
"1396443","",""
"1406060","",""
"1420477","",""
"1423003","",""
"1431261","",""
"1450997","",""
"1453649","",""
"1459793","",""
"1471130","",""
"1475991","",""
"1508236","",""
"1513096","",""
"1520669","",""
"1608127","",""
"1619117","",""
"1778778","",""
"1779779","",""
"1893296","",""
"1903181","",""
"1995051","",""
"2075636","",""
"2100208","",""
"2134128","",""
"2187980","",""
"2219453","",""
"2242210","",""
"2243127","",""
"2243913","",""
"2249528","",""
"2347964","",""
"2371445","",""
"2468448","",""
"2471656","",""
"2516250","",""
"2670346","",""
"2676747","",""
"2681201","",""
"2699099","",""
"2784409","",""
"2790897","",""
"2842888","",""
"2843073","",""
"2876357","",""
"2986515","",""
"2995360","",""
"3006164","",""
"3080332","",""
"3221810","",""
"3343113","",""
"3369708","",""
"3436707","",""
"3682157","",""
"3776291","",""
"3845202","",""
"3952338","",""
"3952971","",""
"4062615","",""
"4113533","",""
"4120344","",""
"4218875","",""
"4228781","",""
"4276238","",""
"4365316","",""
"4427295","",""
"4480423","",""
"4528903","",""
"4529530","",""
"4533133","",""
"4678793","",""
"4750801","",""
"4812398","",""
"4820978","",""
"4840656","",""
"4878548","",""
"5049251","",""
"5079081","",""
"5243095","",""
"5287874","",""
"5428325","",""
"5429672","",""
"5503102","",""
"5651101","",""
"5654114","",""
"5685230","",""
"5818253","",""
"6007092","",""
"6211045","",""
"6216114","",""
"6218028","",""
"6561553","",""
"6902394","",""
"6929921","",""
"7107837","",""
"7113923","",""
