id,acceptedanswerid,owneruserid
"62923","",""
"64432","",""
"100832","",""
"108057","",""
"117461","",""
"140365","",""
"217113","",""
"217213","",""
"180239","",""
"269676","",""
"287456","",""
"280053","",""
"285392","",""
"329775","",""
"352066","",""
"376346","",""
"420599","",""
"466601","",""
"443237","",""
"473760","",""
"516869","",""
"510955","",""
"528127","",""
"531717","",""
"532346","",""
"541620","",""
"580177","",""
"582663","",""
"611520","",""
"612964","",""
"620733","",""
"639034","",""
"641666","",""
"596057","",""
"656274","",""
"661908","",""
"674724","",""
"679270","",""
"687059","",""
"706367","",""
"709145","",""
"738846","",""
"756908","",""
"758743","",""
"803150","",""
"803566","",""
"812980","",""
"838824","",""
"841984","",""
"849549","",""
"856358","",""
"863948","",""
"879758","",""
"867928","",""
"901369","",""
"914199","",""
"918180","",""
"935463","",""
"943841","",""
"969223","",""
"974136","",""
"1001448","",""
"1021839","",""
"1034760","",""
"1037798","",""
"1042917","",""
"1049005","",""
"1052145","",""
"1052979","",""
"1056693","",""
"1058462","",""
"1059648","",""
"1063595","",""
"1083842","",""
"1084032","",""
"1085236","",""
"1086950","",""
"1102359","",""
"1106166","",""
"1117263","",""
"1117685","",""
"1117983","",""
"1119587","",""
"1115739","",""
"1124657","",""
"1131332","",""
"1136844","",""
"1146715","",""
"1150209","",""
"1164188","",""
"1214974","",""
"1218830","",""
"1236789","",""
"1240546","",""
"1252367","",""
"1234431","",""
"1259015","",""
"1266367","",""
"1299466","",""
"1299809","",""
"1310178","",""
"1281549","",""
"1326617","",""
"1332423","",""
"1352313","",""
"1352588","",""
"1354610","",""
"1384050","",""
"1385843","",""
"1376035","",""
"1426861","",""
"1427478","",""
"1429335","",""
"1414861","",""
"1434714","",""
"1440810","",""
"1436465","",""
"1447499","",""
"1454380","",""
"1456899","",""
"1461604","",""
"1463009","",""
"1469841","",""
"1474101","",""
"1480278","",""
"1481183","",""
"1496121","",""
"1498519","",""
"1502799","",""
"1518009","",""
"1540063","",""
"1541476","",""
"1535326","",""
"1554526","",""
"1558863","",""
"1602375","",""
"1622370","",""
"1626069","",""
"1632183","",""
"1658328","",""
"1676593","",""
"1678373","",""
"1678543","",""
"1691528","",""
"1698933","",""
"1705727","",""
"1718658","",""
"1743607","",""
"1743868","",""
"1752998","",""
"1746973","",""
"1747235","",""
"1751408","",""
"1779617","",""
"1780628","",""
"1782309","",""
"1770890","",""
"1796410","",""
"1805102","",""
"1795305","",""
"1816832","",""
"1819122","",""
"1838215","",""
"1842738","",""
"1871774","",""
"1883165","",""
"1903193","",""
"1919852","",""
"1920854","",""
"1922399","",""
"1930571","",""
"1938462","",""
"1865741","",""
"1962825","",""
"1999735","",""
"2006534","",""
"2008349","",""
"2020737","",""
"2025763","",""
"2027451","",""
"2064166","",""
"2064354","",""
"2078969","",""
"2087480","",""
"2099056","",""
"2099075","",""
"2105273","",""
"2101376","",""
"2107370","",""
"2110102","",""
"2115832","",""
"2131646","",""
"2132105","",""
"2128036","",""
"2128494","",""
"2155792","",""
"2165607","",""
"2162945","",""
"2184677","",""
"2186719","",""
"2203754","",""
"2203780","",""
"2204012","",""
"2216107","",""
"2255924","",""
"2191861","",""
"2270979","",""
"2278816","",""
"2286565","",""
"2287618","",""
"2288644","",""
"2301813","",""
"2307343","",""
"2312194","",""
"2323458","",""
"2325463","",""
"2325736","",""
"2316977","",""
"2335944","",""
"2337250","",""
"2339915","",""
"2340964","",""
"2342730","",""
"2355226","",""
"2341724","",""
"2359005","",""
"2360845","",""
"2367643","",""
"2378983","",""
"2374581","",""
"2374811","",""
"2418332","",""
"2419704","",""
"2423433","",""
"2393614","",""
"2434616","",""
"2437170","",""
"2437496","",""
"2440550","",""
"2446295","",""
"2453858","",""
"2454023","",""
"2459838","",""
"2470744","",""
"2450761","",""
"2452350","",""
"2479684","",""
"2489193","",""
"2495378","",""
"2496005","",""
"2497720","",""
"2498164","",""
"2500024","",""
"2505703","",""
"2506367","",""
"2506652","",""
"2529048","",""
"2532272","",""
"2504137","",""
"2543140","",""
"2554870","",""
"2556914","",""
"2559162","",""
"2561414","",""
"2563635","",""
"2563964","",""
"2567683","",""
"2573332","",""
"2584279","",""
"2576468","",""
"2635381","",""
"2646384","",""
"2652239","",""
"2658136","",""
"2660747","",""
"2676385","",""
"2678165","",""
"2678906","",""
"2686689","",""
"2689583","",""
"2693421","",""
"2694227","",""
"2695703","",""
"2696620","",""
"2705940","",""
"2709640","",""
"2710877","",""
"2721184","",""
"2729576","",""
"2743366","",""
"2755192","",""
"2763233","",""
"2736352","",""
"2769197","",""
"2773836","",""
"2792977","",""
"2793206","",""
"2778323","",""
"2814900","",""
"2820223","",""
"2824558","",""
"2830641","",""
"2835291","",""
"2836070","",""
"2845719","",""
"2850098","",""
"2855802","",""
"2843618","",""
"2863948","",""
"2865957","",""
"2869493","",""
"2871041","",""
"2876150","",""
"2877203","",""
"2885751","",""
"2890655","",""
"2896484","",""
"2903494","",""
"2905158","",""
"2918314","",""
"2922691","",""
"2923591","",""
"2909030","",""
"2912750","",""
"2947122","",""
"2964581","",""
"2965171","",""
"2980573","",""
"2989279","",""
"2990484","",""
"2992855","",""
"2996030","",""
"3017674","",""
"3039273","",""
"3050088","",""
"3058757","",""
"3080134","",""
"3088680","",""
"3089380","",""
"3093215","",""
"3093354","",""
"3104704","",""
"3107781","",""
"3110353","",""
"3112699","",""
"3113296","",""
"3114372","",""
"3115054","",""
"3121198","",""
"3122617","",""
"3126072","",""
"3135828","",""
"3137381","",""
"3144751","",""
"3157501","",""
"3157663","",""
"3160933","",""
"3169225","",""
"3200360","",""
"3201063","",""
"3203477","",""
"3209422","",""
"3210880","",""
"3217082","",""
"3220546","",""
"3247317","",""
"3244048","",""
"3244640","",""
"3257404","",""
"3270703","",""
"3281994","",""
"3290851","",""
"3303493","",""
"3317731","",""
"3298941","",""
"3326726","",""
"3332272","",""
"3334656","",""
"3352968","",""
"3354810","",""
"3356705","",""
"3360987","",""
"3364906","",""
"3342495","",""
